Reporter,Partner,Trade Value (US$)
Poland,Afghanistan,9596572
Poland,Albania,66487707
Poland,Antarctica,499190
Poland,Algeria,376354867
Poland,American Samoa,2404
Poland,Andorra,4884650
Poland,Angola,14012019
Poland,Antigua and Barbuda,138867219
Poland,Azerbaijan,80820858
Poland,Argentina,119031488
Poland,Australia,661642277
Poland,Austria,5146367285
Poland,Bahamas,362348237
Poland,Bahrain,22315720
Poland,Bangladesh,73244423
Poland,Armenia,44600471
Poland,Barbados,3170728
Poland,Belgium,6105069123
Poland,Bermuda,854530
Poland,Bhutan,185398
Poland,Bolivia (Plurinational State of),7648253
Poland,Bosnia Herzegovina,284013728
Poland,Botswana,862931
Poland,Brazil,491194932
Poland,Belize,1210747
Poland,Solomon Isds,364
Poland,Br. Virgin Isds,1193362
Poland,Brunei Darussalam,2276680
Poland,Bulgaria,1258906902
Poland,Myanmar,64643049
Poland,Burundi,887964
Poland,Belarus,1703091968
Poland,Cambodia,11729767
Poland,Cameroon,13374682
Poland,Canada,1408281113
Poland,Cabo Verde,2875356
Poland,Cayman Isds,13491811
Poland,Central African Rep.,1085192
Poland,Sri Lanka,38134308
Poland,Chad,7468999
Poland,Chile,266159477
Poland,China,2501427073
Poland,Colombia,82746115
Poland,Comoros,1690269
Poland,Congo,25340272
Poland,Dem. Rep. of the Congo,21161547
Poland,Cook Isds,910974
Poland,Costa Rica,14360750
Poland,Croatia,995434079
Poland,Cuba,19541282
Poland,Cyprus,227318325
Poland,Czechia,16657343954
Poland,Benin,28518924
Poland,Denmark,4572938433
Poland,Dominica,1087945
Poland,Dominican Rep.,25133425
Poland,Ecuador,32273864
Poland,El Salvador,4018872
Poland,Equatorial Guinea,4842981
Poland,Ethiopia,20315798
Poland,Eritrea,860386
Poland,Estonia,1279520206
Poland,Faeroe Isds,37443300
Poland,Falkland Isds (Malvinas),117974
Poland,Fiji,1418887
Poland,Finland,2222097307
Poland,France,14518561897
Poland,French Polynesia,872947
Poland,Fr. South Antarctic Terr.,1142115
Poland,Djibouti,5708097
Poland,Gabon,14841964
Poland,Georgia,136001993
Poland,Gambia,5339401
Poland,State of Palestine,9803588
Poland,Germany,73691774699
Poland,Ghana,54657049
Poland,Gibraltar,31877558
Poland,Greece,1026775049
Poland,Greenland,2470328
Poland,Grenada,13214
Poland,Guam,113873
Poland,Guatemala,10428942
Poland,Guinea,39082970
Poland,Guyana,2691416
Poland,Haiti,8577125
Poland,Holy See (Vatican City State),94717
Poland,Honduras,8623396
Poland,Hungary,6986545572
Poland,Iceland,125284010
Poland,Indonesia,153697314
Poland,Iran,79077681
Poland,Iraq,115881502
Poland,Ireland,1178512368
Poland,Israel,693344120
Poland,Italy,12043729233
Poland,Côte d'Ivoire,38487311
Poland,Jamaica,6883558
Poland,Japan,671576686
Poland,Kazakhstan,521737176
Poland,Jordan,107018236
Poland,Kenya,47561137
Poland,Dem. People's Rep. of Korea,88705
Poland,Rep. of Korea,615308404
Poland,Kuwait,108458023
Poland,Kyrgyzstan,21310330
Poland,Lao People's Dem. Rep.,2892678
Poland,Lebanon,88885573
Poland,Lesotho,8790
Poland,Latvia,1642018900
Poland,Liberia,8327393
Poland,Libya,51646725
Poland,Lithuania,3850438167
Poland,Luxembourg,487243972
Poland,Madagascar,4052743
Poland,Malawi,1510996
Poland,Malaysia,185379710
Poland,Maldives,9042960
Poland,Mali,15968217
Poland,Malta,73935501
Poland,Mauritania,19656200
Poland,Mauritius,9292264
Poland,Mexico,754680108
Poland,Mongolia,58891693
Poland,Rep. of Moldova,232114446
Poland,Montenegro,35419553
Poland,Morocco,366173887
Poland,Mozambique,9361023
Poland,Oman,75058961
Poland,Namibia,5249944
Poland,Nauru,29673
Poland,Nepal,2714985
Poland,Netherlands,11834130715
Poland,Curaçao,2377000
Poland,Aruba,649808
Poland,Saint Maarten,1206592
Poland,Bonaire,223804
Poland,New Caledonia,4301353
Poland,Vanuatu,3120294
Poland,New Zealand,187269747
Poland,Nicaragua,1295536
Poland,Niger,4910571
Poland,Nigeria,110582901
Poland,Norway,3090520846
Poland,N. Mariana Isds,262
Poland,United States Minor Outlying Islands,92172
Poland,FS Micronesia,278
Poland,Marshall Isds,25312274
Poland,Pakistan,112950001
Poland,Panama,135500448
Poland,Papua New Guinea,1491869
Poland,Paraguay,14276793
Poland,Peru,71833230
Poland,Philippines,95030930
Poland,Portugal,1141217981
Poland,Guinea-Bissau,2232426
Poland,Timor-Leste,87911
Poland,Qatar,101291692
Poland,Romania,5373245852
Poland,Russian Federation,8008860455
Poland,Rwanda,1359523
Poland,Saint Barthélemy,52028
Poland,Saint Helena,87
Poland,Saint Kitts and Nevis,4288973
Poland,Anguilla,155810
Poland,Saint Lucia,94362
Poland,Saint Pierre and Miquelon,4862
Poland,Saint Vincent and the Grenadines,2147270
Poland,San Marino,33775056
Poland,Sao Tome and Principe,169091
Poland,Saudi Arabia,850758885
Poland,Senegal,69239007
Poland,Serbia,1051503744
Poland,Seychelles,7442318
Poland,Sierra Leone,10944365
Poland,India,819617251
Poland,Singapore,278587997
Poland,Slovakia,6734402633
Poland,Viet Nam,338491695
Poland,Slovenia,1087486327
Poland,Somalia,6720126
Poland,South Africa,776253404
Poland,Zimbabwe,5880298
Poland,Spain,6722818093
Poland,South Sudan,4527
Poland,Sudan,15504709
Poland,Western Sahara,1652
Poland,Suriname,6797927
Poland,Eswatini,36412
Poland,Sweden,7258856655
Poland,Switzerland,2343589411
Poland,Syria,11902274
Poland,Tajikistan,19247022
Poland,Thailand,281715476
Poland,Togo,17720507
Poland,Tonga,3178
Poland,Trinidad and Tobago,7872651
Poland,United Arab Emirates,529201170
Poland,Tunisia,127660631
Poland,Turkey,2999226907
Poland,Turkmenistan,21604262
Poland,Turks and Caicos Isds,3231
Poland,Tuvalu,46832
Poland,Uganda,18138995
Poland,Ukraine,5271783255
Poland,North Macedonia,130674581
Poland,Egypt,318809531
Poland,United Kingdom,16198245157
Poland,United Rep. of Tanzania,22931159
Poland,Bunkers,153162020
Poland,Special Categories,28448160
Poland,USA,7283604930
Poland,Burkina Faso,24305303
Poland,Uruguay,16721299
Poland,Uzbekistan,188295543
Poland,Venezuela,2348359
Poland,Wallis and Futuna Isds,3887
Poland,Samoa,808684
Poland,Yemen,11892573
Poland,Zambia,3327609
Germany,World,1562418816337
Germany,Afghanistan,95511453
Germany,Albania,295464794
Germany,Antarctica,229601
Germany,Algeria,2595051926
Germany,American Samoa,7784
Germany,Andorra,52003517
Germany,Angola,163894266
Germany,Antigua and Barbuda,17596076
Germany,Azerbaijan,542485692
Germany,Argentina,3476883492
Germany,Australia,11871220948
Germany,Austria,75276412199
Germany,Bahamas,484172306
Germany,Bangladesh,982205291
Germany,Armenia,240619984
Germany,Barbados,19481217
Germany,Belgium,52241080723
Germany,Bermuda,9552127
Germany,Bhutan,2112462
Germany,Bolivia (Plurinational State of),172030408
Germany,Bosnia Herzegovina,1087127930
Germany,Botswana,87621104
Germany,Bouvet Island,17723
Germany,Brazil,11273512104
Germany,Belize,3401717
Germany,Solomon Isds,298487
Germany,Br. Virgin Isds,115376381
Germany,Brunei Darussalam,134323989
Germany,Bulgaria,4694406693
Germany,Myanmar,145734564
Germany,Burundi,11542170
Germany,Belarus,1798488891
Germany,Cambodia,157911624
Germany,Cameroon,126574395
Germany,Canada,12056023570
Germany,Cabo Verde,11458396
Germany,Cayman Isds,767514774
Germany,Central African Rep.,12041822
Germany,Sri Lanka,419448894
Germany,Chad,17497501
Germany,Chile,3165044088
Germany,China,110452930389
Germany,Christmas Isds,3568
Germany,Colombia,1769813303
Germany,Comoros,1369466
Germany,Congo,50578990
Germany,Dem. Rep. of the Congo,107129562
Germany,Cook Isds,1006906
Germany,Costa Rica,296669969
Germany,Croatia,4257577220
Germany,Cuba,269195084
Germany,Cyprus,760641247
Germany,Czechia,51826716461
Germany,Benin,47871523
Germany,Denmark,23619123763
Germany,Dominica,1780795
Germany,Dominican Rep.,342891028
Germany,Ecuador,575498866
Germany,El Salvador,257771249
Germany,Equatorial Guinea,22046884
Germany,Ethiopia,302857188
Germany,Eritrea,15907126
Germany,Estonia,2342644724
Germany,Faeroe Isds,90345003
Germany,Falkland Isds (Malvinas),87927
Germany,Fiji,10486046
Germany,Finland,13144696291
Germany,France,124361108658
Germany,French Polynesia,35816204
Germany,Fr. South Antarctic Terr.,3249645
Germany,Djibouti,16825729
Germany,Gabon,57658726
Germany,Georgia,444806793
Germany,Gambia,14305287
Germany,State of Palestine,107124746
Germany,Ghana,274562442
Germany,Gibraltar,33103272
Germany,Kiribati,15576
Germany,Greece,6783145525
Germany,Greenland,12693017
Germany,Grenada,4751084
Germany,Guam,7124741
Germany,Guatemala,337181247
Germany,Guinea,141048007
Germany,Guyana,11722316
Germany,Haiti,45824822
Germany,Heard Island and McDonald Islands,46906
Germany,Holy See (Vatican City State),3537647
Germany,Honduras,194949782
Germany,Hungary,30956987547
Germany,Iceland,860377201
Germany,Indonesia,3403598647
Germany,Iran,3232393300
Germany,Iraq,874807760
Germany,Ireland,13543397490
Germany,Israel,5510751497
Germany,Italy,82414016512
Germany,Côte d'Ivoire,252388195
Germany,Jamaica,118951581
Germany,Japan,24239532472
Germany,Kazakhstan,1709194497
Germany,Jordan,974899338
Germany,Kenya,445987888
Germany,Dem. People's Rep. of Korea,3272877
Germany,Rep. of Korea,20394670579
Germany,Kuwait,1523585241
Germany,Kyrgyzstan,75248769
Germany,Lao People's Dem. Rep.,34957264
Germany,Lebanon,924170033
Germany,Lesotho,1691276
Germany,Latvia,2119197147
Germany,Liberia,299385148
Germany,Libya,396444885
Germany,Lithuania,4074750830
Germany,Luxembourg,7073955423
Germany,Madagascar,47935304
Germany,Malawi,23297609
Germany,Malaysia,6138835958
Germany,Maldives,56382392
Germany,Mali,126816218
Germany,Malta,783766804
Germany,Mauritania,85573501
Germany,Mauritius,160392060
Germany,Mexico,16479936716
Germany,Mongolia,161321488
Germany,Rep. of Moldova,492557093
Germany,Montenegro,151404378
Germany,Montserrat,103542
Germany,Morocco,2451653864
Germany,Mozambique,126230016
Germany,Oman,961607514
Germany,Namibia,68881721
Germany,Nauru,38884
Germany,Nepal,55445773
Germany,Netherlands,99570744246
Germany,Curaçao,47056112
Germany,Aruba,54047085
Germany,Saint Maarten,4330462
Germany,Bonaire,1460039
Germany,New Caledonia,48660969
Germany,Vanuatu,1043181
Germany,New Zealand,1777437356
Germany,Nicaragua,63812143
Germany,Niger,28155565
Germany,Nigeria,1037683011
Germany,Norfolk Isds,113853
Germany,Norway,11025438330
Germany,N. Mariana Isds,458398
Germany,United States Minor Outlying Islands,146979
Germany,FS Micronesia,228246
Germany,Marshall Isds,792761351
Germany,Palau,255625
Germany,Pakistan,1544621460
Germany,Panama,498638726
Germany,Papua New Guinea,26788323
Germany,Paraguay,210939236
Germany,Peru,1008063008
Germany,Philippines,3065463546
Germany,Poland,74773677152
Germany,Portugal,11853228599
Germany,Guinea-Bissau,3245223
Germany,Timor-Leste,257443
Germany,Qatar,1631414498
Germany,Romania,19211630317
Germany,Russian Federation,31350927514
Germany,Rwanda,52919206
Germany,Saint Barthélemy,1207990
Germany,Saint Helena,107777
Germany,Saint Kitts and Nevis,8221478
Germany,Anguilla,1292546
Germany,Saint Lucia,4277589
Germany,Saint Pierre and Miquelon,765610
Germany,Saint Vincent and the Grenadines,1634329
Germany,San Marino,61345102
Germany,Sao Tome and Principe,341314
Germany,Saudi Arabia,7484085163
Germany,Senegal,149800300
Germany,Serbia,3484302462
Germany,Seychelles,18538577
Germany,Sierra Leone,24238706
Germany,India,14878761168
Germany,Singapore,9518147435
Germany,Slovakia,16360783472
Germany,Viet Nam,4878763463
Germany,Slovenia,6595845713
Germany,Somalia,27008988
Germany,South Africa,10893894824
Germany,Zimbabwe,39732757
Germany,Spain,52258979467
Germany,South Sudan,6037968
Germany,Sudan,194448902
Germany,Western Sahara,70069
Germany,Suriname,26018049
Germany,Eswatini,8667371
Germany,Sweden,31001802530
Germany,Switzerland,65490002826
Germany,Syria,106121927
Germany,Tajikistan,56676486
Germany,Thailand,6039070739
Germany,Togo,60476689
Germany,Tokelau,753094
Germany,Tonga,196436
Germany,Trinidad and Tobago,109698273
Germany,United Arab Emirates,9967793505
Germany,Tunisia,1793114035
Germany,Turkey,22761398748
Germany,Turkmenistan,173705623
Germany,Turks and Caicos Isds,1190541
Germany,Tuvalu,27117
Germany,Uganda,125478419
Germany,Ukraine,5484965205
Germany,North Macedonia,1437825661
Germany,Egypt,3816168151
Germany,United Kingdom,96659170689
Germany,United Rep. of Tanzania,178374937
Germany,Bunkers,4582835683
Germany,Special Categories,11466788410
Germany,USA,134363438748
Germany,Burkina Faso,92183851
Germany,Uruguay,274134557
Germany,Uzbekistan,829077695
Germany,Venezuela,152559267
Germany,Wallis and Futuna Isds,102002
Germany,Samoa,2122000
Germany,Yemen,69597269
Germany,Zambia,78206864
Russian Federation,World,451494828173
Russian Federation,Afghanistan,118660674
Russian Federation,Albania,125691008
Russian Federation,Algeria,4801849548
Russian Federation,Andorra,98703
Russian Federation,Angola,49469278
Russian Federation,Antigua and Barbuda,1521
Russian Federation,Azerbaijan,1713359626
Russian Federation,Argentina,394698452
Russian Federation,Australia,141046592
Russian Federation,Austria,3375466863
Russian Federation,Bahamas,41726720
Russian Federation,Bahrain,93674016
Russian Federation,Bangladesh,733511117
Russian Federation,Armenia,1341378203
Russian Federation,Barbados,332
Russian Federation,Belgium,9211361453
Russian Federation,Bermuda,11013824
Russian Federation,Bolivia (Plurinational State of),8359118
Russian Federation,Bosnia Herzegovina,86518163
Russian Federation,Botswana,19515567
Russian Federation,Brazil,2584083054
Russian Federation,Belize,1580527
Russian Federation,Br. Virgin Isds,21783035
Russian Federation,Brunei Darussalam,810712
Russian Federation,Bulgaria,2942858396
Russian Federation,Myanmar,272367609
Russian Federation,Burundi,10409303
Russian Federation,Belarus,22779795969
Russian Federation,Cambodia,11556044
Russian Federation,Cameroon,103461846
Russian Federation,Canada,580644396
Russian Federation,Cabo Verde,2391535
Russian Federation,Cayman Isds,14201227
Russian Federation,Central African Rep.,904940
Russian Federation,Sri Lanka,105720476
Russian Federation,Chad,1165235
Russian Federation,Chile,124210267
Russian Federation,China,56019903783
Russian Federation,Colombia,273497037
Russian Federation,Congo,38109750
Russian Federation,Dem. Rep. of the Congo,33095479
Russian Federation,Costa Rica,57454104
Russian Federation,Croatia,1229607691
Russian Federation,Cuba,372705792
Russian Federation,Cyprus,786523447
Russian Federation,Czechia,4896726792
Russian Federation,Benin,10227103
Russian Federation,Denmark,3891054810
Russian Federation,Dominica,1867103
Russian Federation,Dominican Rep.,110627173
Russian Federation,Ecuador,356498331
Russian Federation,El Salvador,20705999
Russian Federation,Equatorial Guinea,34233525
Russian Federation,Ethiopia,85586442
Russian Federation,Eritrea,12017628
Russian Federation,Estonia,2452262125
Russian Federation,Faeroe Isds,17782767
Russian Federation,Falkland Isds (Malvinas),1285000
Russian Federation,Fiji,4696
Russian Federation,Finland,11370570449
Russian Federation,France,7781229618
Russian Federation,French Polynesia,15547
Russian Federation,Djibouti,16857543
Russian Federation,Gabon,6588284
Russian Federation,Georgia,956794392
Russian Federation,Gambia,1554484
Russian Federation,State of Palestine,4949553
Russian Federation,Germany,34184357758
Russian Federation,Ghana,110047400
Russian Federation,Gibraltar,148426090
Russian Federation,Greece,4056025662
Russian Federation,Greenland,8543
Russian Federation,Guam,2118
Russian Federation,Guatemala,81563393
Russian Federation,Guinea,61161511
Russian Federation,Guyana,2682677
Russian Federation,Haiti,11375275
Russian Federation,Honduras,27989426
Russian Federation,Hungary,4801276438
Russian Federation,Iceland,15913203
Russian Federation,Indonesia,868087425
Russian Federation,Iran,1205741841
Russian Federation,Iraq,765466600
Russian Federation,Ireland,677893744
Russian Federation,Israel,1954133623
Russian Federation,Italy,16400963508
Russian Federation,Côte d'Ivoire,52819133
Russian Federation,Jamaica,1865258
Russian Federation,Japan,12440341530
Russian Federation,Kazakhstan,12923330620
Russian Federation,Jordan,588196928
Russian Federation,Kenya,217573728
Russian Federation,Dem. People's Rep. of Korea,32106795
Russian Federation,Rep. of Korea,17824997468
Russian Federation,Kuwait,644564352
Russian Federation,Kyrgyzstan,1635408173
Russian Federation,Lao People's Dem. Rep.,148816022
Russian Federation,Lebanon,460771796
Russian Federation,Latvia,4821833255
Russian Federation,Liberia,4768251
Russian Federation,Libya,227091259
Russian Federation,Lithuania,4224963701
Russian Federation,Luxembourg,63807429
Russian Federation,Madagascar,13272731
Russian Federation,Malawi,11461396
Russian Federation,Malaysia,1086596335
Russian Federation,Maldives,3320907
Russian Federation,Mali,41148186
Russian Federation,Malta,4664845801
Russian Federation,Mauritania,24481185
Russian Federation,Mauritius,4358782
Russian Federation,Mexico,2003659215
Russian Federation,Mongolia,1609128318
Russian Federation,Rep. of Moldova,1204617772
Russian Federation,Montenegro,11747960
Russian Federation,Morocco,929078749
Russian Federation,Mozambique,95364852
Russian Federation,Oman,154139186
Russian Federation,Namibia,14412228
Russian Federation,Nepal,7029304
Russian Federation,Netherlands,43450496563
Russian Federation,Curaçao,493506233
Russian Federation,Aruba,31470
Russian Federation,New Caledonia,2791002
Russian Federation,New Zealand,27086955
Russian Federation,Nicaragua,34973393
Russian Federation,Niger,259064
Russian Federation,Nigeria,733738439
Russian Federation,Norway,1140838232
Russian Federation,FS Micronesia,8606
Russian Federation,Marshall Isds,9159825
Russian Federation,Pakistan,418832612
Russian Federation,Panama,21635456
Russian Federation,Papua New Guinea,962380
Russian Federation,Paraguay,14872449
Russian Federation,Peru,339023907
Russian Federation,Philippines,799537848
Russian Federation,Poland,16607201973
Russian Federation,Portugal,906738188
Russian Federation,Qatar,42328409
Russian Federation,Romania,3095825283
Russian Federation,Rwanda,30632358
Russian Federation,Saint Kitts and Nevis,345
Russian Federation,Saint Lucia,21917
Russian Federation,Saint Vincent and the Grenadines,1232
Russian Federation,San Marino,236721
Russian Federation,Sao Tome and Principe,6790
Russian Federation,Saudi Arabia,762729122
Russian Federation,Senegal,559116691
Russian Federation,Serbia,1011000574
Russian Federation,Seychelles,5717296
Russian Federation,Sierra Leone,690269
Russian Federation,India,7751475129
Russian Federation,Singapore,2789631849
Russian Federation,Slovakia,3790384523
Russian Federation,Viet Nam,2457278930
Russian Federation,Slovenia,377494449
Russian Federation,Somalia,5076567
Russian Federation,South Africa,285742174
Russian Federation,Zimbabwe,9711030
Russian Federation,Spain,2362646766
Russian Federation,South Sudan,2809706
Russian Federation,Sudan,509002130
Russian Federation,Western Sahara,4604495
Russian Federation,Suriname,2958255
Russian Federation,Eswatini,24721
Russian Federation,Sweden,3140777153
Russian Federation,Switzerland,4648391513
Russian Federation,Syria,400146735
Russian Federation,Tajikistan,849587234
Russian Federation,Thailand,753474532
Russian Federation,Togo,196554530
Russian Federation,Tokelau,98475
Russian Federation,Trinidad and Tobago,558337004
Russian Federation,United Arab Emirates,1483243063
Russian Federation,Tunisia,683604800
Russian Federation,Turkey,21312068617
Russian Federation,Turkmenistan,288830545
Russian Federation,Uganda,62655444
Russian Federation,Ukraine,9521066424
Russian Federation,North Macedonia,52244670
Russian Federation,Egypt,7062278801
Russian Federation,United Kingdom,9769720566
Russian Federation,United Rep. of Tanzania,179206214
Russian Federation,USA,12569089285
Russian Federation,Burkina Faso,32181573
Russian Federation,Uruguay,33036165
Russian Federation,Uzbekistan,3317879453
Russian Federation,Venezuela,84063071
Russian Federation,Yemen,300315117
Russian Federation,Zambia,3718892
Lithuania,World,33334576736
Lithuania,Afghanistan,9679408
Lithuania,Albania,3223457
Lithuania,Algeria,187225892
Lithuania,Andorra,328489
Lithuania,Angola,15543150
Lithuania,Antigua and Barbuda,35114
Lithuania,Azerbaijan,30709035
Lithuania,Argentina,17987996
Lithuania,Australia,72578417
Lithuania,Austria,173998320
Lithuania,Bahamas,1201518
Lithuania,Bahrain,7097921
Lithuania,Bangladesh,27659103
Lithuania,Armenia,27301820
Lithuania,Barbados,206862
Lithuania,Belgium,518404831
Lithuania,Bermuda,61220
Lithuania,Bhutan,8796
Lithuania,Bolivia (Plurinational State of),473875
Lithuania,Bosnia Herzegovina,6713523
Lithuania,Botswana,174365
Lithuania,Brazil,21045152
Lithuania,Belize,116126
Lithuania,Brunei Darussalam,167734
Lithuania,Bulgaria,85601569
Lithuania,Myanmar,514607
Lithuania,Burundi,3915
Lithuania,Belarus,1271305780
Lithuania,Cambodia,1650023
Lithuania,Cameroon,3563287
Lithuania,Canada,55262628
Lithuania,Cabo Verde,9291
Lithuania,Central African Rep.,46265
Lithuania,Sri Lanka,2921483
Lithuania,Chad,40199
Lithuania,Chile,14901030
Lithuania,China,222728974
Lithuania,Colombia,2769405
Lithuania,Congo,227388
Lithuania,Dem. Rep. of the Congo,1294656
Lithuania,Costa Rica,1378685
Lithuania,Croatia,56342398
Lithuania,Cuba,2697640
Lithuania,Cyprus,17193598
Lithuania,Czechia,355720907
Lithuania,Benin,8448719
Lithuania,Denmark,837776723
Lithuania,Dominica,66629
Lithuania,Dominican Rep.,3707894
Lithuania,Ecuador,1190886
Lithuania,El Salvador,253357
Lithuania,Equatorial Guinea,44923
Lithuania,Ethiopia,1414718
Lithuania,Estonia,1639108482
Lithuania,Faeroe Isds,10030562
Lithuania,Fiji,164103
Lithuania,Finland,594474229
Lithuania,France,835554964
Lithuania,French Polynesia,265432
Lithuania,Djibouti,48304
Lithuania,Gabon,233788
Lithuania,Georgia,32467217
Lithuania,Gambia,466856
Lithuania,State of Palestine,1206929
Lithuania,Germany,2460238358
Lithuania,Ghana,3554195
Lithuania,Gibraltar,20763073
Lithuania,Greece,57746819
Lithuania,Greenland,303793
Lithuania,Grenada,554947
Lithuania,Guam,7595
Lithuania,Guatemala,1096267
Lithuania,Guinea,548213
Lithuania,Guyana,372229
Lithuania,Haiti,304983
Lithuania,Honduras,75703
Lithuania,Hungary,268913048
Lithuania,Iceland,51194582
Lithuania,Indonesia,13815694
Lithuania,Iran,6254781
Lithuania,Iraq,8913741
Lithuania,Ireland,131229162
Lithuania,Israel,56587015
Lithuania,Italy,727449028
Lithuania,Côte d'Ivoire,7820385
Lithuania,Jamaica,1164292
Lithuania,Japan,363814241
Lithuania,Kazakhstan,443399118
Lithuania,Jordan,10662815
Lithuania,Kenya,12635291
Lithuania,Rep. of Korea,88675889
Lithuania,Kuwait,23021336
Lithuania,Kyrgyzstan,55209474
Lithuania,Lao People's Dem. Rep.,38282
Lithuania,Lebanon,5347439
Lithuania,Lesotho,561
Lithuania,Latvia,3267453613
Lithuania,Liberia,156896
Lithuania,Libya,45902687
Lithuania,Luxembourg,17077482
Lithuania,Madagascar,334548
Lithuania,Malawi,1128579
Lithuania,Malaysia,15192922
Lithuania,Maldives,1171583
Lithuania,Mali,1243349
Lithuania,Malta,5359886
Lithuania,Mauritania,1132484
Lithuania,Mauritius,3703921
Lithuania,Mexico,29883891
Lithuania,Mongolia,14283036
Lithuania,Rep. of Moldova,37388051
Lithuania,Montenegro,1782139
