Reporter,Partner,Trade Value (US$)
Lithuania,Morocco,28977031
Lithuania,Mozambique,18944495
Lithuania,Oman,2051601
Lithuania,Namibia,2321622
Lithuania,Nepal,623384
Lithuania,Netherlands,1121866061
Lithuania,Curaçao,6776
Lithuania,Aruba,160668
Lithuania,Saint Maarten,320153
Lithuania,New Caledonia,509092
Lithuania,Vanuatu,35546
Lithuania,New Zealand,13842194
Lithuania,Nicaragua,205325
Lithuania,Niger,12879
Lithuania,Nigeria,70020075
Lithuania,Norway,931479815
Lithuania,Marshall Isds,4447
Lithuania,Pakistan,6310672
Lithuania,Panama,26195792
Lithuania,Papua New Guinea,55130
Lithuania,Paraguay,784526
Lithuania,Peru,2816075
Lithuania,Philippines,7212696
Lithuania,Poland,2749510012
Lithuania,Portugal,99052527
Lithuania,Guinea-Bissau,449780
Lithuania,Timor-Leste,1450
Lithuania,Qatar,3330848
Lithuania,Romania,128057383
Lithuania,Russian Federation,4665591141
Lithuania,Rwanda,456803
Lithuania,Saint Barthélemy,45007
Lithuania,Saint Kitts and Nevis,220780
Lithuania,Saint Lucia,68251
Lithuania,Saint Vincent and the Grenadines,57085
Lithuania,San Marino,240913
Lithuania,Saudi Arabia,195736867
Lithuania,Senegal,2005779
Lithuania,Serbia,20297827
Lithuania,Seychelles,13922
Lithuania,Sierra Leone,751417
Lithuania,India,60774748
Lithuania,Singapore,444081308
Lithuania,Slovakia,126355811
Lithuania,Viet Nam,27480655
Lithuania,Slovenia,52093157
Lithuania,Somalia,25584
Lithuania,South Africa,41681425
Lithuania,Zimbabwe,624852
Lithuania,Spain,364172229
Lithuania,South Sudan,27705
Lithuania,Sudan,818779
Lithuania,Suriname,151248
Lithuania,Eswatini,16318
Lithuania,Sweden,1615173161
Lithuania,Switzerland,179507575
Lithuania,Syria,1317143
Lithuania,Tajikistan,31680545
Lithuania,Thailand,15523741
Lithuania,Togo,3279027
Lithuania,Trinidad and Tobago,1269079
Lithuania,United Arab Emirates,60554764
Lithuania,Tunisia,3396853
Lithuania,Turkey,272057253
Lithuania,Turkmenistan,9421608
Lithuania,Uganda,537082
Lithuania,Ukraine,1020205568
Lithuania,North Macedonia,3315487
Lithuania,Egypt,56591697
Lithuania,United Kingdom,1272812754
Lithuania,United Rep. of Tanzania,3210228
Lithuania,Bunkers,156966362
Lithuania,USA,1675452328
Lithuania,Burkina Faso,566366
Lithuania,Uruguay,3216671
Lithuania,Uzbekistan,210527953
Lithuania,Venezuela,1642956
Lithuania,Samoa,32576
Lithuania,Yemen,559872
Lithuania,Zambia,1183544
Belarus,World,33726141400
Belarus,Afghanistan,33488600
Belarus,Albania,94100
Belarus,Algeria,11356600
Belarus,Andorra,188800
Belarus,Angola,10307800
Belarus,Azerbaijan,227737000
Belarus,Argentina,31151900
Belarus,Australia,31214700
Belarus,Austria,26376700
Belarus,Bahrain,171700
Belarus,Bangladesh,83580400
Belarus,Armenia,37390700
Belarus,Barbados,800
Belarus,Belgium,179487000
Belarus,Bolivia (Plurinational State of),2500
Belarus,Bosnia Herzegovina,7704800
Belarus,Botswana,300
Belarus,Brazil,585291200
Belarus,Belize,18800
Belarus,Br. Virgin Isds,233400
Belarus,Brunei Darussalam,1817900
Belarus,Bulgaria,62787900
Belarus,Myanmar,8700900
Belarus,Burundi,5200
Belarus,Cambodia,1850300
Belarus,Cameroon,14240500
Belarus,Canada,22279100
Belarus,Central African Rep.,200500
Belarus,Sri Lanka,31123300
Belarus,Chad,1124200
Belarus,Chile,2897700
Belarus,China,476390700
Belarus,Colombia,57124700
Belarus,Comoros,16100
Belarus,Congo,894200
Belarus,Dem. Rep. of the Congo,1347800
Belarus,Costa Rica,19201700
Belarus,Croatia,12788500
Belarus,Cuba,13712700
Belarus,Cyprus,469000
Belarus,Czechia,115991000
Belarus,Benin,195300
Belarus,Denmark,24772300
Belarus,Dominica,2500
Belarus,Dominican Rep.,5948700
Belarus,Ecuador,37872300
Belarus,El Salvador,703900
Belarus,Equatorial Guinea,50400
Belarus,Ethiopia,2768100
Belarus,Estonia,142975000
Belarus,Fiji,518000
Belarus,Finland,18835500
Belarus,France,74734800
Belarus,French Polynesia,26400
Belarus,Djibouti,1900
Belarus,Gabon,274200
Belarus,Georgia,53110400
Belarus,Gambia,12900
Belarus,State of Palestine,26200
Belarus,Germany,1443493500
Belarus,Ghana,4668400
Belarus,Gibraltar,200
Belarus,Greece,8059000
Belarus,Guatemala,29434400
Belarus,Guinea,453100
Belarus,Guyana,739900
Belarus,Honduras,106900
Belarus,Hungary,76022900
Belarus,Iceland,14459600
Belarus,Indonesia,227282600
Belarus,Iran,32045700
Belarus,Iraq,15726200
Belarus,Ireland,13816300
Belarus,Israel,92931200
Belarus,Italy,123931000
Belarus,Côte d'Ivoire,20187300
Belarus,Japan,17043900
Belarus,Kazakhstan,782266000
Belarus,Jordan,15694900
Belarus,Kenya,3118100
Belarus,Rep. of Korea,45373600
Belarus,Kuwait,6213200
Belarus,Kyrgyzstan,120319700
Belarus,Lao People's Dem. Rep.,117600
Belarus,Lebanon,3479200
Belarus,Lesotho,200
Belarus,Latvia,471927400
Belarus,Liberia,214400
Belarus,Libya,5095500
Belarus,Lithuania,1152053300
Belarus,Luxembourg,1560100
Belarus,Madagascar,499700
Belarus,Malawi,34100
Belarus,Malaysia,170858000
Belarus,Mali,23299600
Belarus,Malta,24926700
Belarus,Mauritania,3954300
Belarus,Mauritius,397700
Belarus,Mexico,20135700
Belarus,Mongolia,19116400
Belarus,Rep. of Moldova,140352100
Belarus,Montenegro,413400
Belarus,Morocco,62712300
Belarus,Mozambique,783400
Belarus,Oman,1805900
Belarus,Namibia,700
Belarus,Nepal,511000
Belarus,Netherlands,1428495300
Belarus,Aruba,1400
Belarus,New Caledonia,400
Belarus,New Zealand,20517400
Belarus,Nicaragua,4064800
Belarus,Niger,182200
Belarus,Nigeria,30973800
Belarus,Norway,147247000
Belarus,Marshall Isds,8300
Belarus,Pakistan,39421800
Belarus,Panama,6912200
Belarus,Papua New Guinea,538700
Belarus,Paraguay,13315000
Belarus,Peru,10972800
Belarus,Philippines,10745100
Belarus,Poland,1341627500
Belarus,Portugal,4708000
Belarus,Qatar,385900
Belarus,Romania,79987500
Belarus,Russian Federation,12879206000
Belarus,Rwanda,500
Belarus,San Marino,1900
Belarus,Saudi Arabia,9549900
Belarus,Senegal,19334700
Belarus,Serbia,74941100
Belarus,Sierra Leone,801800
Belarus,India,297105100
Belarus,Singapore,18269800
Belarus,Slovakia,105573400
Belarus,Viet Nam,61649800
Belarus,Slovenia,12432800
Belarus,South Africa,17172900
Belarus,Zimbabwe,1785600
Belarus,Spain,29078500
Belarus,South Sudan,336200
Belarus,Sudan,12416400
Belarus,Sweden,52125400
Belarus,Switzerland,24782300
Belarus,Syria,6147600
Belarus,Tajikistan,25151300
Belarus,Thailand,80057700
Belarus,Togo,186800
Belarus,Trinidad and Tobago,92400
Belarus,United Arab Emirates,49784800
Belarus,Tunisia,2573700
Belarus,Turkey,182432800
Belarus,Turkmenistan,22987300
Belarus,Uganda,569300
Belarus,Ukraine,4061534200
Belarus,North Macedonia,1127200
Belarus,Egypt,83013900
Belarus,United Kingdom,3072590300
Belarus,United Rep. of Tanzania,2137500
Belarus,USA,274436700
Belarus,Burkina Faso,3927300
Belarus,Uruguay,6463000
Belarus,Uzbekistan,111022300
Belarus,Venezuela,2412200
Belarus,Yemen,847600
Belarus,Zambia,1150400
Ukraine,World,47334679853
Ukraine,Afghanistan,7147863
Ukraine,Albania,23908488
Ukraine,Algeria,390647706
Ukraine,Andorra,10944
Ukraine,Angola,23954399
Ukraine,Antigua and Barbuda,47289
Ukraine,Azerbaijan,360029879
Ukraine,Argentina,9636757
Ukraine,Australia,30033605
Ukraine,Austria,553191579
Ukraine,Bahamas,13228613
Ukraine,Bahrain,14402345
Ukraine,Bangladesh,218160560
Ukraine,Armenia,136697131
Ukraine,Barbados,9788
Ukraine,Belgium,603521009
Ukraine,Bermuda,30433
Ukraine,Bolivia (Plurinational State of),833380
Ukraine,Bosnia Herzegovina,32039787
Ukraine,Botswana,456562
Ukraine,Brazil,44837249
Ukraine,Belize,4145586
Ukraine,Br. Virgin Isds,4712133
Ukraine,Brunei Darussalam,73305
Ukraine,Bulgaria,513862288
Ukraine,Myanmar,35671031
Ukraine,Burundi,267857
Ukraine,Belarus,1304196400
Ukraine,Cambodia,620684
Ukraine,Cameroon,40856992
Ukraine,Canada,78144378
Ukraine,Cabo Verde,114604
Ukraine,Central African Rep.,709961
Ukraine,Sri Lanka,40837646
Ukraine,Chad,1690182
Ukraine,Chile,8028799
Ukraine,China,2200142008
Ukraine,Colombia,38578516
Ukraine,Comoros,301616
Ukraine,Congo,3343440
Ukraine,Dem. Rep. of the Congo,19611059
Ukraine,Cook Isds,47749
Ukraine,Costa Rica,79514562
Ukraine,Croatia,35010533
Ukraine,Cuba,8553879
Ukraine,Cyprus,40363854
Ukraine,Czechia,878035732
Ukraine,Benin,11552625
Ukraine,Denmark,249974816
Ukraine,Dominica,247674
Ukraine,Dominican Rep.,3871518
Ukraine,Ecuador,908118
Ukraine,El Salvador,358140
Ukraine,Equatorial Guinea,6312160
Ukraine,Ethiopia,93419589
Ukraine,Eritrea,928248
Ukraine,Estonia,152061517
Ukraine,Fiji,158870
Ukraine,Finland,80642793
Ukraine,France,540668161
Ukraine,French Polynesia,19333
Ukraine,Djibouti,34939111
Ukraine,Gabon,14202756
Ukraine,Georgia,479992242
Ukraine,Gambia,23967765
Ukraine,State of Palestine,24164438
Ukraine,Germany,2208347124
Ukraine,Ghana,72609429
Ukraine,Gibraltar,156319
Ukraine,Greece,279900678
Ukraine,Greenland,198
Ukraine,Guatemala,2062460
Ukraine,Guinea,19291957
Ukraine,Guyana,910974
Ukraine,Haiti,8458893
Ukraine,Honduras,149235
Ukraine,Hungary,1646044666
Ukraine,Iceland,1409860
Ukraine,Indonesia,616238389
Ukraine,Iran,433091139
Ukraine,Iraq,644037883
Ukraine,Ireland,77508530
Ukraine,Israel,579994376
Ukraine,Italy,2628757126
Ukraine,Côte d'Ivoire,58904110
Ukraine,Jamaica,9837
Ukraine,Japan,231866235
Ukraine,Kazakhstan,376507679
Ukraine,Jordan,158512572
Ukraine,Kenya,59856212
Ukraine,Dem. People's Rep. of Korea,236665
Ukraine,Rep. of Korea,327434526
Ukraine,Kuwait,15067696
Ukraine,Kyrgyzstan,28605728
Ukraine,Lao People's Dem. Rep.,179575
Ukraine,Lebanon,404839532
Ukraine,Lesotho,77063
Ukraine,Latvia,294422104
Ukraine,Liberia,77749964
Ukraine,Libya,325667160
Ukraine,Lithuania,342713677
Ukraine,Luxembourg,7289811
Ukraine,Madagascar,1090559
Ukraine,Malawi,501279
Ukraine,Malaysia,125583402
Ukraine,Maldives,810427
Ukraine,Mali,23439048
Ukraine,Malta,65682505
Ukraine,Mauritania,62822659
Ukraine,Mauritius,755181
Ukraine,Mexico,155567916
Ukraine,Mongolia,29158205
Ukraine,Rep. of Moldova,789202267
Ukraine,Montenegro,6997806
Ukraine,Morocco,363207945
Ukraine,Mozambique,10478765
Ukraine,Oman,59116200
Ukraine,Namibia,343610
Ukraine,Nepal,17723388
Ukraine,Netherlands,1603531052
Ukraine,Curaçao,2555
Ukraine,Aruba,6486
Ukraine,New Caledonia,329249
Ukraine,Vanuatu,8702
Ukraine,New Zealand,5200431
Ukraine,Nicaragua,161179
Ukraine,Niger,225653
Ukraine,Nigeria,105219853
Ukraine,Norway,27976807
Ukraine,Marshall Isds,12422178
Ukraine,Palau,16753
Ukraine,Pakistan,130831134
Ukraine,Panama,7231703
Ukraine,Papua New Guinea,378971
Ukraine,Paraguay,129688
Ukraine,Peru,8479055
Ukraine,Philippines,329405246
Ukraine,Poland,3257236606
Ukraine,Portugal,247046382
Ukraine,Guinea-Bissau,121470
Ukraine,Qatar,59931846
Ukraine,Romania,932648586
Ukraine,Russian Federation,3652428495
Ukraine,Rwanda,795883
Ukraine,Saint Kitts and Nevis,2875314
Ukraine,Saint Vincent and the Grenadines,3847
Ukraine,San Marino,2613507
Ukraine,Saudi Arabia,749020486
Ukraine,Senegal,169039667
Ukraine,Serbia,268804993
Ukraine,Seychelles,1046778
Ukraine,Sierra Leone,4315502
Ukraine,India,2175941259
Ukraine,Singapore,165717113
Ukraine,Slovakia,863926362
Ukraine,Viet Nam,132023009
Ukraine,Slovenia,33306207
Ukraine,Somalia,10712491
Ukraine,South Africa,34114257
Ukraine,Zimbabwe,359795
Ukraine,Spain,1369890133
Ukraine,South Sudan,2954834
Ukraine,Sudan,45390020
Ukraine,Western Sahara,24412
Ukraine,Suriname,3432989
Ukraine,Sweden,70190218
Ukraine,Switzerland,108750164
Ukraine,Syria,7858352
Ukraine,Tajikistan,34431100
Ukraine,Thailand,228577895
Ukraine,Togo,15928704
Ukraine,Trinidad and Tobago,653897
Ukraine,United Arab Emirates,486154736
Ukraine,Tunisia,392009060
Ukraine,Turkey,2352352605
Ukraine,Turkmenistan,56835914
Ukraine,Tuvalu,5863
Ukraine,Uganda,12230347
Ukraine,North Macedonia,15818850
Ukraine,Egypt,1556938410
Ukraine,United Kingdom,584410640
Ukraine,United Rep. of Tanzania,17419691
Ukraine,USA,1113076816
Ukraine,Burkina Faso,11576077
Ukraine,Uruguay,504326
Ukraine,Uzbekistan,286023238
Ukraine,Venezuela,20580117
Ukraine,Yemen,114154161
Ukraine,Zambia,186458
Slovakia,World,93443738159
Slovakia,Afghanistan,3661667
Slovakia,Albania,27039082
Slovakia,Algeria,125150671
Slovakia,Andorra,125255
Slovakia,Angola,1716745
Slovakia,Antigua and Barbuda,8217
Slovakia,Azerbaijan,29316199
Slovakia,Argentina,27444083
Slovakia,Australia,147468592
Slovakia,Austria,5386141209
Slovakia,Bahamas,238428
Slovakia,Bahrain,14913012
Slovakia,Bangladesh,2621402
Slovakia,Armenia,4024771
Slovakia,Barbados,128
Slovakia,Belgium,1241578059
Slovakia,Bermuda,9518
Slovakia,Bhutan,764207
Slovakia,Bolivia (Plurinational State of),1767897
Slovakia,Bosnia Herzegovina,120116651
Slovakia,Botswana,2032932
Slovakia,Brazil,85852448
Slovakia,Belize,2296
Slovakia,Br. Virgin Isds,1626
Slovakia,Brunei Darussalam,24383
Slovakia,Bulgaria,589050432
Slovakia,Myanmar,1143569
Slovakia,Belarus,90691308
Slovakia,Cambodia,155744
Slovakia,Cameroon,1407208
Slovakia,Canada,393530503
Slovakia,Cabo Verde,47499
Slovakia,Cayman Isds,168755
Slovakia,Central African Rep.,30172
Slovakia,Sri Lanka,8858922
Slovakia,Chad,550937
Slovakia,Chile,54900663
Slovakia,China,1609498498
Slovakia,Colombia,80714643
Slovakia,Comoros,24045
Slovakia,Congo,678847
Slovakia,Dem. Rep. of the Congo,3107019
Slovakia,Costa Rica,2946477
Slovakia,Croatia,515939488
Slovakia,Cuba,34260227
Slovakia,Cyprus,82482235
Slovakia,Czechia,10979549660
Slovakia,Benin,2256870
Slovakia,Denmark,754018564
Slovakia,Dominica,402
Slovakia,Dominican Rep.,4663316
Slovakia,Ecuador,6156090
Slovakia,El Salvador,171321
Slovakia,Equatorial Guinea,57112
Slovakia,Ethiopia,773475
Slovakia,Eritrea,52389
Slovakia,Estonia,122072853
Slovakia,Faeroe Isds,89229
Slovakia,Falkland Isds (Malvinas),5063
Slovakia,Fiji,218606
Slovakia,Finland,270469739
Slovakia,France,5906260201
Slovakia,French Polynesia,184132
Slovakia,Fr. South Antarctic Terr.,1786
Slovakia,Djibouti,337043
Slovakia,Gabon,1136627
Slovakia,Georgia,17043006
Slovakia,Gambia,555731
Slovakia,State of Palestine,9336533
Slovakia,Germany,20717664705
Slovakia,Ghana,12181150
Slovakia,Gibraltar,877588
Slovakia,Greece,356024780
Slovakia,Greenland,27
Slovakia,Grenada,1192
Slovakia,Guam,3053
Slovakia,Guatemala,9456434
Slovakia,Guinea,2008648
Slovakia,Guyana,177134
Slovakia,Honduras,802640
Slovakia,Hungary,5625390588
Slovakia,Iceland,22985864
Slovakia,Indonesia,9747973
Slovakia,Iran,36219770
Slovakia,Iraq,3948444
Slovakia,Ireland,164332319
Slovakia,Israel,292730847
Slovakia,Italy,5380648024
Slovakia,Côte d'Ivoire,2993112
Slovakia,Jamaica,2423045
Slovakia,Japan,159423365
Slovakia,Kazakhstan,33057393
Slovakia,Jordan,57219561
Slovakia,Kenya,5230020
Slovakia,Rep. of Korea,117833618
Slovakia,Kuwait,142891040
Slovakia,Kyrgyzstan,2891551
Slovakia,Lao People's Dem. Rep.,123673
Slovakia,Lebanon,21698985
Slovakia,Lesotho,7173
Slovakia,Latvia,183364594
Slovakia,Liberia,3075596
Slovakia,Libya,2107172
Slovakia,Lithuania,204564236
Slovakia,Luxembourg,113475580
Slovakia,Madagascar,2022597
Slovakia,Malawi,1154667
Slovakia,Malaysia,20934147
Slovakia,Maldives,578735
Slovakia,Mali,8159991
Slovakia,Malta,12619869
Slovakia,Mauritania,119215
Slovakia,Mauritius,6810883
Slovakia,Mexico,322618731
Slovakia,Mongolia,1261787
Slovakia,Rep. of Moldova,39480573
Slovakia,Montenegro,21734856
Slovakia,Morocco,193579867
Slovakia,Mozambique,3068834
Slovakia,Oman,41464891
Slovakia,Namibia,1418973
Slovakia,Nepal,100112
Slovakia,Netherlands,2037942774
Slovakia,Curaçao,261206
Slovakia,Aruba,12852
Slovakia,Saint Maarten,176826
Slovakia,Bonaire,1441
Slovakia,New Caledonia,700350
Slovakia,New Zealand,35956796
Slovakia,Nicaragua,654706
Slovakia,Niger,150231
Slovakia,Nigeria,10358014
Slovakia,Norway,214229481
Slovakia,United States Minor Outlying Islands,183532
Slovakia,FS Micronesia,5797
Slovakia,Palau,2231
Slovakia,Pakistan,21213914
Slovakia,Panama,5353179
Slovakia,Paraguay,7146390
Slovakia,Peru,10113385
Slovakia,Philippines,4002266
Slovakia,Poland,7149590208
Slovakia,Portugal,335566113
Slovakia,Guinea-Bissau,21297
Slovakia,Timor-Leste,81039
Slovakia,Qatar,27092436
Slovakia,Romania,2360909259
Slovakia,Russian Federation,1784486578
Slovakia,Rwanda,398026
Slovakia,Saint Barthélemy,870
Slovakia,Saint Kitts and Nevis,7088
Slovakia,Anguilla,229
Slovakia,Saint Lucia,187538
Slovakia,Saint Pierre and Miquelon,39320
Slovakia,San Marino,12850342
Slovakia,Saudi Arabia,101138371
Slovakia,Senegal,6191942
Slovakia,Serbia,457534777
Slovakia,Seychelles,291928
Slovakia,Sierra Leone,6552
Slovakia,India,85700120
Slovakia,Singapore,38780938
Slovakia,Viet Nam,31868566
Slovakia,Slovenia,695822279
Slovakia,Somalia,60573
Slovakia,South Africa,145360658
Slovakia,Zimbabwe,97815
Slovakia,Spain,2680491419
Slovakia,Sudan,2504325
Slovakia,Suriname,22073
Slovakia,Eswatini,1393
Slovakia,Sweden,1273157564
Slovakia,Switzerland,1433453341
Slovakia,Syria,2875619
Slovakia,Tajikistan,761012
Slovakia,Thailand,44183069
Slovakia,Togo,4022918
Slovakia,Trinidad and Tobago,1797926
Slovakia,United Arab Emirates,170165947
Slovakia,Tunisia,79839790
Slovakia,Turkey,649635319
Slovakia,Turkmenistan,1824798
Slovakia,Turks and Caicos Isds,200171
Slovakia,Uganda,956834
Slovakia,Ukraine,674049042
Slovakia,North Macedonia,78087807
Slovakia,Egypt,147734824
Slovakia,United Kingdom,4175508717
Slovakia,United Rep. of Tanzania,2432732
Slovakia,Bunkers,11492946
Slovakia,USA,3102714692
Slovakia,Burkina Faso,827895
Slovakia,Uruguay,3645460
Slovakia,Uzbekistan,10846194
Slovakia,Venezuela,6549726
Slovakia,Yemen,510762
Slovakia,Zambia,1710077
Czechia,World,202521577709
Czechia,Afghanistan,17081273
Czechia,Albania,63098612
Czechia,Antarctica,396127
Czechia,Algeria,283420412
Czechia,Andorra,2809718
Czechia,Angola,3876580
Czechia,Antigua and Barbuda,24696
Czechia,Azerbaijan,74394458
Czechia,Argentina,75840755
Czechia,Australia,437573886
Czechia,Austria,9022427928
Czechia,Bahamas,78864
Czechia,Bahrain,33570154
Czechia,Bangladesh,53892154
Czechia,Armenia,72811617
Czechia,Barbados,66379
Czechia,Belgium,4333007573
Czechia,Bermuda,52386
Czechia,Bhutan,91913
Czechia,Bolivia (Plurinational State of),5923111
Czechia,Bosnia Herzegovina,174995894
Czechia,Botswana,1207059
Czechia,Brazil,343742432
Czechia,Belize,517004
Czechia,Br. Virgin Isds,4148342
Czechia,Brunei Darussalam,587902
Czechia,Bulgaria,999177436
Czechia,Myanmar,4959849
Czechia,Burundi,256076
Czechia,Belarus,327693339
Czechia,Cambodia,5349467
Czechia,Cameroon,4859392
Czechia,Canada,358351194
Czechia,Cabo Verde,657818
Czechia,Cayman Isds,383265
Czechia,Central African Rep.,11367
Czechia,Sri Lanka,8951532
Czechia,Chad,2162589
Czechia,Chile,79096694
Czechia,China,2583493944
Czechia,Colombia,58603691
Czechia,Comoros,9986
Czechia,Congo,2483422
Czechia,Dem. Rep. of the Congo,5928520
Czechia,Costa Rica,9940233
Czechia,Croatia,714948317
Czechia,Cuba,33159297
Czechia,Cyprus,76217770
Czechia,Benin,2096052
Czechia,Denmark,1851046391
Czechia,Dominica,26174
Czechia,Dominican Rep.,12698645
Czechia,Ecuador,17160594
Czechia,El Salvador,21034249
Czechia,Equatorial Guinea,198644
Czechia,Ethiopia,15239059
Czechia,Eritrea,9444
Czechia,Estonia,388306920
Czechia,Faeroe Isds,2510399
Czechia,Fiji,63864
Czechia,Finland,1148492213
Czechia,France,10274863192
Czechia,French Polynesia,834244
Czechia,Fr. South Antarctic Terr.,200604
Czechia,Djibouti,211418
Czechia,Gabon,1362210
Czechia,Georgia,94448312
Czechia,Gambia,272558
Czechia,State of Palestine,3554934
Czechia,Germany,65641693394
Czechia,Ghana,17556692
Czechia,Gibraltar,10755357
Czechia,Kiribati,15
Czechia,Greece,501935823
Czechia,Greenland,766501
Czechia,Grenada,34625
Czechia,Guam,4750
Czechia,Guatemala,8101814
Czechia,Guinea,2568433
Czechia,Guyana,458374
Czechia,Haiti,170100
Czechia,Holy See (Vatican City State),120
Czechia,Honduras,7021548
Czechia,Hungary,6080248993
Czechia,Iceland,52209456
Czechia,Indonesia,135156821
Czechia,Iran,69634226
Czechia,Iraq,48249922
Czechia,Ireland,1280792646
Czechia,Israel,1016587956
Czechia,Italy,7812021809
Czechia,Côte d'Ivoire,33869992
Czechia,Jamaica,1873613
Czechia,Japan,911611820
Czechia,Kazakhstan,289113640
Czechia,Jordan,51626971
Czechia,Kenya,29071052
Czechia,Dem. People's Rep. of Korea,158
Czechia,Rep. of Korea,492597952
Czechia,Kuwait,85436975
Czechia,Kyrgyzstan,8504353
Czechia,Lao People's Dem. Rep.,28919138
Czechia,Lebanon,66449212
Czechia,Lesotho,58670
Czechia,Latvia,300920173
Czechia,Liberia,814369
Czechia,Libya,5942407
Czechia,Lithuania,714190498
Czechia,Luxembourg,266549333
Czechia,Madagascar,1334683
Czechia,Malawi,287677
Czechia,Malaysia,208731339
Czechia,Maldives,7517566
Czechia,Mali,10189304
Czechia,Malta,34831945
Czechia,Mauritania,1755526
Czechia,Mauritius,10341861
Czechia,Mexico,817102012
Czechia,Mongolia,13025836
Czechia,Rep. of Moldova,80067241
Czechia,Montenegro,82319816
Czechia,Morocco,399751238
Czechia,Mozambique,2107235
Czechia,Oman,60418331
Czechia,Namibia,2107846
Czechia,Nepal,6380704
Czechia,Netherlands,7469495415
Czechia,Curaçao,441194
Czechia,Aruba,62280
Czechia,Saint Maarten,227432
Czechia,Bonaire,36224
Czechia,New Caledonia,3150397
Czechia,Vanuatu,311002
Czechia,New Zealand,102846246
Czechia,Nicaragua,1617050
Czechia,Niger,1231049
Czechia,Nigeria,57325765
Czechia,Niue,38225
Czechia,Norway,869637252
Czechia,N. Mariana Isds,87136
Czechia,United States Minor Outlying Islands,6
Czechia,Marshall Isds,68218
Czechia,Pakistan,50905042
Czechia,Panama,6526371
Czechia,Papua New Guinea,5752739
Czechia,Paraguay,5172008
Czechia,Peru,44120819
Czechia,Philippines,114105879
Czechia,Poland,12235364967
Czechia,Portugal,698228138
Czechia,Guinea-Bissau,792
Czechia,Timor-Leste,41250
Czechia,Qatar,95583833
Czechia,Romania,3030921273
Czechia,Russian Federation,4118115285
Czechia,Rwanda,2209586
Czechia,Saint Barthélemy,31934
Czechia,Saint Helena,349568
Czechia,Saint Kitts and Nevis,4856
Czechia,Anguilla,136631
Czechia,Saint Lucia,35047
Czechia,Saint Vincent and the Grenadines,1505
Czechia,San Marino,1042919
Czechia,Sao Tome and Principe,30
Czechia,Saudi Arabia,483114787
Czechia,Senegal,20451934
Czechia,Serbia,726255091
Czechia,Seychelles,3359771
Czechia,Sierra Leone,108625
Czechia,India,702384454
Czechia,Singapore,345383130
Czechia,Slovakia,15284559341
Czechia,Viet Nam,140917477
Czechia,Slovenia,990523417
Czechia,Somalia,168930
Czechia,South Africa,648276957
Czechia,Zimbabwe,2028740
Czechia,Spain,6369132726
Czechia,South Sudan,269511
Czechia,Sudan,10310187
Czechia,Suriname,2032254
Czechia,Eswatini,630674
Czechia,Sweden,3516311549
Czechia,Switzerland,2736143450
Czechia,Syria,6021174
Czechia,Tajikistan,6104036
Czechia,Thailand,180763223
Czechia,Togo,2935844
Czechia,Tonga,4784
Czechia,Trinidad and Tobago,1001714
Czechia,United Arab Emirates,731372521
Czechia,Tunisia,165624194
Czechia,Turkey,2209877700
Czechia,Turkmenistan,6293041
Czechia,Turks and Caicos Isds,97818
Czechia,Uganda,14966941
Czechia,Ukraine,1509348766
Czechia,North Macedonia,140421852
Czechia,Egypt,391226422
Czechia,United Kingdom,9398882546
Czechia,United Rep. of Tanzania,16293509
Czechia,Bunkers,103621902
Czechia,USA,4179060406
Czechia,Burkina Faso,3680669
Czechia,Uruguay,6815288
Czechia,Uzbekistan,45111703
Czechia,Venezuela,1989344
Czechia,Samoa,309184
Czechia,Yemen,3888568
Czechia,Zambia,3624935